ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01 00:00:00,528.7098454342272,433.92523454884343,608.6625580547258,528.7098454342272,528.7098454342272,-9.68845299761767,-9.68845299761767,-9.68845299761767,-86.80017360407899,-86.80017360407899,-86.80017360407899,77.11172060646133,77.11172060646133,77.11172060646133,0.0,0.0,0.0,519.0213924366095
2025-01-01 01:00:00,528.7576207294802,434.9317511049729,606.4702156363538,528.7576207294802,528.7576207294802,-7.0904328024880225,-7.0904328024880225,-7.0904328024880225,-84.09936271855199,-84.09936271855199,-84.09936271855199,77.00892991606396,77.00892991606396,77.00892991606396,0.0,0.0,0.0,521.6671879269921
2025-01-01 02:00:00,528.8053960247333,443.6228454513442,608.9122980800391,528.8053960247333,528.8053960247333,-3.387964723009964,-3.387964723009964,-3.387964723009964,-80.34162421150255,-80.34162421150255,-80.34162421150255,76.95365948849258,76.95365948849258,76.95365948849258,0.0,0.0,0.0,525.4174313017234
2025-01-01 03:00:00,528.8531713199865,434.95510904156004,610.282262140631,528.8531713199865,528.8531713199865,-5.708322525215649,-5.708322525215649,-5.708322525215649,-82.64336494223804,-82.64336494223804,-82.64336494223804,76.93504241702239,76.93504241702239,76.93504241702239,0.0,0.0,0.0,523.1448487947708
2025-01-01 04:00:00,528.9009466152396,426.69997210371076,597.5013289714202,528.9009466152396,528.9009466152396,-13.48322677343931,-13.48322677343931,-13.48322677343931,-90.42551591232164,-90.42551591232164,-90.42551591232164,76.94228913888234,76.94228913888234,76.94228913888234,0.0,0.0,0.0,515.4177198418002
2025-01-01 05:00:00,528.9487219104926,425.0175425362621,601.480432928516,528.9487219104926,528.9487219104926,-14.657224942788202,-14.657224942788202,-14.657224942788202,-91.62219081257624,-91.62219081257624,-91.62219081257624,76.96496586978805,76.96496586978805,76.96496586978805,0.0,0.0,0.0,514.2914969677045
2025-01-01 06:00:00,528.9964972057458,445.1070662554195,621.8556212229975,528.9964972057458,528.9964972057458,6.216991484817933,6.216991484817933,6.216991484817933,-70.77626454917474,-70.77626454917474,-70.77626454917474,76.99325603399268,76.99325603399268,76.99325603399268,0.0,0.0,0.0,535.2134886905637
2025-01-01 07:00:00,529.0442725009989,500.44780142305825,672.4659033480442,529.0442725009989,529.0442725009989,54.665856846967685,54.665856846967685,54.665856846967685,-22.352343725363188,-22.352343725363188,-22.352343725363188,77.01820057233087,77.01820057233087,77.01820057233087,0.0,0.0,0.0,583.7101293479666
2025-01-01 08:00:00,529.092047796252,568.3843107013139,732.0550039834255,529.092047796252,529.092047796252,120.0856045965688,120.0856045965688,120.0856045965688,43.05369123289374,43.05369123289374,43.05369123289374,77.03191336367507,77.03191336367507,77.03191336367507,0.0,0.0,0.0,649.1776523928208
2025-01-01 09:00:00,529.1398230915051,628.8636906509885,797.3911382434553,529.1398230915051,529.1398230915051,182.58844456580525,182.58844456580525,182.58844456580525,105.56067616580364,105.56067616580364,105.56067616580364,77.02776840000162,77.02776840000162,77.02776840000162,0.0,0.0,0.0,711.7282676573104
2025-01-01 10:00:00,529.1875983867582,668.5754777238758,834.7253738892574,529.1875983867582,529.1875983867582,226.63569910193968,226.63569910193968,226.63569910193968,149.6351432964137,149.6351432964137,149.6351432964137,77.00055580552595,77.00055580552595,77.00055580552595,0.0,0.0,0.0,755.8232974886978
2025-01-01 11:00:00,529.2353736820113,692.9574144926398,860.2682643256346,529.2353736820113,529.2353736820113,249.1070349160029,249.1070349160029,249.1070349160029,172.1604306366777,172.1604306366777,172.1604306366777,76.94660427932519,76.94660427932519,76.94660427932519,0.0,0.0,0.0,778.3424085980142
2025-01-01 12:00:00,529.2831489772643,697.7506559101846,868.6022699438248,529.2831489772643,529.2831489772643,255.39878654653856,255.39878654653856,255.39878654653856,178.5349184808417,178.5349184808417,178.5349184808417,76.86386806569686,76.86386806569686,76.86386806569686,0.0,0.0,0.0,784.6819355238028
2025-01-01 13:00:00,529.3309242725176,693.0086348495855,867.8403794523373,529.3309242725176,529.3309242725176,249.0663949268855,249.0663949268855,249.0663949268855,172.3144178229629,172.3144178229629,172.3144178229629,76.75197710392263,76.75197710392263,76.75197710392263,0.0,0.0,0.0,778.397319199403
2025-01-01 14:00:00,529.3786995677706,666.0121501186865,838.239169012386,529.3786995677706,529.3786995677706,226.51759269234435,226.51759269234435,226.51759269234435,149.90534311418855,149.90534311418855,149.90534311418855,76.61224957815587,76.61224957815587,76.61224957815587,0.0,0.0,0.0,755.8962922601149
2025-01-01 15:00:00,529.4264748630237,625.3352608068445,799.7077506135795,529.4264748630237,529.4264748630237,182.45692774723108,182.45692774723108,182.45692774723108,106.0092610824176,106.0092610824176,106.0092610824176,76.4476666648135,76.4476666648135,76.4476666648135,0.0,0.0,0.0,711.8834026102547
2025-01-01 16:00:00,529.4742501582768,567.1095413915003,736.9764716158521,529.4742501582768,529.4742501582768,120.18307554459571,120.18307554459571,120.18307554459571,43.920265687991126,43.920265687991126,43.920265687991126,76.26280985660456,76.26280985660456,76.26280985660456,0.0,0.0,0.0,649.6573257028725
2025-01-01 17:00:00,529.52202545353,499.6078848455374,674.4927486246629,529.52202545353,529.52202545353,55.265093945230845,55.265093945230845,55.265093945230845,-20.798667872753427,-20.798667872753427,-20.798667872753427,76.06376181798429,76.06376181798429,76.06376181798429,0.0,0.0,0.0,584.7871193987609
2025-01-01 18:00:00,529.5698007487831,452.86886315040607,625.0121370187968,529.5698007487831,529.5698007487831,7.327792239220463,7.327792239220463,7.327792239220463,-68.53018004983102,-68.53018004983102,-68.53018004983102,75.85797228905147,75.85797228905147,75.85797228905147,0.0,0.0,0.0,536.8975929880036
2025-01-01 19:00:00,529.6175760440361,428.92914046221404,595.8516827566741,529.6175760440361,529.6175760440361,-13.44609575437602,-13.44609575437602,-13.44609575437602,-89.10018685296178,-89.10018685296178,-89.10018685296178,75.65409109858577,75.65409109858577,75.65409109858577,0.0,0.0,0.0,516.17148028966
2025-01-01 20:00:00,529.6653513392893,428.3555047375645,600.2415662544983,529.6653513392893,529.6653513392893,-12.821415031169892,-12.821415031169892,-12.821415031169892,-88.28318588970507,-88.28318588970507,-88.28318588970507,75.46177085853517,75.46177085853517,75.46177085853517,0.0,0.0,0.0,516.8439363081194
2025-01-01 21:00:00,529.7131266345423,444.1793590310009,606.5317050572677,529.7131266345423,529.7131266345423,-6.06343018867781,-6.06343018867781,-6.06343018867781,-81.35487258268948,-81.35487258268948,-81.35487258268948,75.29144239401167,75.29144239401167,75.29144239401167,0.0,0.0,0.0,523.6496964458645
2025-01-01 22:00:00,529.7609019297955,437.23133502702274,610.6938273535989,529.7609019297955,529.7609019297955,-4.7383511992783385,-4.7383511992783385,-4.7383511992783385,-79.89241759685272,-79.89241759685272,-79.89241759685272,75.1540663975744,75.1540663975744,75.1540663975744,0.0,0.0,0.0,525.0225507305172
2025-01-01 23:00:00,529.8086772250485,432.7055930643287,603.1750370609307,529.8086772250485,529.8086772250485,-9.012931007434805,-9.012931007434805,-9.012931007434805,-84.0737961960595,-84.0737961960595,-84.0737961960595,75.06086518862469,75.06086518862469,75.06086518862469,0.0,0.0,0.0,520.7957462176138
2025-01-02 00:00:00,529.8564525203017,431.2980432175192,601.5363633356066,529.8564525203017,529.8564525203017,-11.77713481160155,-11.77713481160155,-11.77713481160155,-86.8001736040801,-86.8001736040801,-86.8001736040801,75.02303879247854,75.02303879247854,75.02303879247854,0.0,0.0,0.0,518.0793177087002
2025-01-02 01:00:00,529.9042278155548,431.9012199433819,606.4518601957726,529.9042278155548,529.9042278155548,-9.047892883081941,-9.047892883081941,-9.047892883081941,-84.0993627184755,-84.0993627184755,-84.0993627184755,75.05146983539356,75.05146983539356,75.05146983539356,0.0,0.0,0.0,520.8563349324729
2025-01-02 02:00:00,529.9520031108078,444.9919452303302,604.0385585840463,529.9520031108078,529.9520031108078,-5.185202247174716,-5.185202247174716,-5.185202247174716,-80.34162421156475,-80.34162421156475,-80.34162421156475,75.15642196439002,75.15642196439002,75.15642196439002,0.0,0.0,0.0,524.7668008636331
2025-01-02 03:00:00,529.999778406061,431.41151056008874,605.7015103163432,529.999778406061,529.999778406061,-7.296128284581135,-7.296128284581135,-7.296128284581135,-82.64336494199625,-82.64336494199625,-82.64336494199625,75.34723665741512,75.34723665741512,75.34723665741512,0.0,0.0,0.0,522.7036501214798
2025-01-02 04:00:00,530.0475537013141,429.9366787668572,592.9010952526343,530.0475537013141,530.0475537013141,-14.793482545461194,-14.793482545461194,-14.793482545461194,-90.42551591244401,-90.42551591244401,-90.42551591244401,75.63203336698282,75.63203336698282,75.63203336698282,0.0,0.0,0.0,515.2540711558529
2025-01-02 05:00:00,530.0953289965672,425.6585375284348,598.3166493167745,530.0953289965672,530.0953289965672,-15.60477284865745,-15.60477284865745,-15.60477284865745,-91.6221908128765,-91.6221908128765,-91.6221908128765,76.01741796421905,76.01741796421905,76.01741796421905,0.0,0.0,0.0,514.4905561479097
